n;l;m;r_exp_analytical;r2_exp_analytical;r_exp_numerical;r2_exp_numerical;r_mode;rel_error_r;rel_error_r2;r_expected_numeric;sigma_r;cluster
1;0;0;1,5;3;1,5;3;0,999999918;0;0;1,5;0,866025404;2
2;0;0;6;42;6;42;5,236067881;1,03621E-15;9,13555E-15;6;2,449489743;2
2;1;-1;5;30;5;30;3,999998325;7,10543E-16;4,73695E-15;5;2,236067977;2
2;1;0;5;30;5;30;3,999998325;7,10543E-16;4,73695E-15;5;2,236067977;2
2;1;1;5;30;5;30;3,999998325;7,10543E-16;4,73695E-15;5;2,236067977;2
3;0;0;13,5;207;13,49999724;206,999857;13,07403194;2,04175E-07;6,90958E-07;13,49999724;4,97493029;0
3;1;-1;12,5;180;12,49999844;179,9999191;12,00000076;1,24723E-07;4,49366E-07;12,49999844;4,873392873;0
3;1;0;12,5;180;12,49999844;179,9999191;12,00000076;1,24723E-07;4,49366E-07;12,49999844;4,873392873;0
3;1;1;12,5;180;12,49999844;179,9999191;12,00000076;1,24723E-07;4,49366E-07;12,49999844;4,873392873;0
3;2;-2;10,5;126;10,4999996;125,9999793;8,999999898;3,79848E-08;1,64175E-07;10,4999996;3,968625416;0
3;2;-1;10,5;126;10,4999996;125,9999793;8,999999898;3,79848E-08;1,64175E-07;10,4999996;3,968625416;0
3;2;0;10,5;126;10,4999996;125,9999793;8,999999898;3,79848E-08;1,64175E-07;10,4999996;3,968625416;0
3;2;1;10,5;126;10,4999996;125,9999793;8,999999898;3,79848E-08;1,64175E-07;10,4999996;3,968625416;0
3;2;2;10,5;126;10,4999996;125,9999793;8,999999898;3,79848E-08;1,64175E-07;10,4999996;3,968625416;0
4;0;0;24;648;23,95038795;645,3637374;10,64956459;0,002067169;0,004068306;23,95038795;8,470103562;1
4;1;-1;23;600;22,96459955;598,1200214;23,58042656;0,00153915;0,003133298;22,96459955;8,411134809;1
4;1;0;23;600;22,96459955;598,1200214;23,58042656;0,00153915;0,003133298;22,96459955;8,411134809;1
4;1;1;23;600;22,96459955;598,1200214;23,58042656;0,00153915;0,003133298;22,96459955;8,411134809;1
4;2;-2;21;504;20,98333076;503,1157755;21,2111039;0,000793773;0,001754414;20,98333076;7,925629663;1
4;2;-1;21;504;20,98333076;503,1157755;21,2111039;0,000793773;0,001754414;20,98333076;7,925629663;1
4;2;0;21;504;20,98333076;503,1157755;21,2111039;0,000793773;0,001754414;20,98333076;7,925629663;1
4;2;1;21;504;20,98333076;503,1157755;21,2111039;0,000793773;0,001754414;20,98333076;7,925629663;1
4;2;2;21;504;20,98333076;503,1157755;21,2111039;0,000793773;0,001754414;20,98333076;7,925629663;1
4;3;-3;18;360;17,99601342;359,7888738;15,99999878;0,000221477;0,000586462;17,99601342;5,994361916;1
4;3;-2;18;360;17,99601342;359,7888738;15,99999878;0,000221477;0,000586462;17,99601342;5,994361916;1
4;3;-1;18;360;17,99601342;359,7888738;15,99999878;0,000221477;0,000586462;17,99601342;5,994361916;1
4;3;0;18;360;17,99601342;359,7888738;15,99999878;0,000221477;0,000586462;17,99601342;5,994361916;1
4;3;1;18;360;17,99601342;359,7888738;15,99999878;0,000221477;0,000586462;17,99601342;5,994361916;1
4;3;2;18;360;17,99601342;359,7888738;15,99999878;0,000221477;0,000586462;17,99601342;5,994361916;1
4;3;3;18;360;17,99601342;359,7888738;15,99999878;0,000221477;0,000586462;17,99601342;5,994361916;1
